TIMESTAMP,SET.Close,SET50.Close 2,SET100.Close 3,MAI.Close 4,AGRI.Close 5,FOOD.Close 6,FASHION.Close 7,HOME.Close 8,PERSON.Close 9,BANK.Close 10,FIN.Close 11,INSUR.Close 12,AUTO.Close 13,IMM.Close 14,PAPER.Close 15,PETRO.Close 16,PKG.Close 17,STEEL.Close 18,CONMAT.Close 19,CONS.Close 20,PFNREIT.Close 21,PROP.Close 22,ENERG.Close 23,MINE.Close 24,COMM.Close 25,HELTH.Close 26,MEDIA.Close 27,PROF.Close 28,TOURISM.Close 29,TRANS.Close 30,ETRON.Close 31,ICT.Close 32
22-Jun-2018,1634.98,1071.18,2373.68,439.77,186.99,11591.86,709.54,32.03,437.31,508.88,3127.66,12498.26,560.20,55.27,3319.49,1413.26,3787.60,36.40,10589.68,96.07,193.79,305.60,24221.05,13.87,42557.87,5695.67,54.88,162.54,687.91,365.70,1513.90,152.44
25-Jun-2018,1622.28,1061.68,2353.52,436.36,183.66,11558.48,708.44,31.81,431.91,501.77,3138.34,12445.21,558.60,55.55,3291.36,1377.47,3772.81,35.97,10595.39,95.75,194.13,306.57,24124.36,13.87,41645.70,5706.87,54.43,148.85,673.50,360.77,1499.80,151.92
26-Jun-2018,1623.98,1065.20,2359.78,435.48,184.25,11548.24,705.64,31.64,437.69,503.48,3178.87,12293.83,560.73,55.60,3291.36,1399.75,3744.42,35.80,10653.69,95.69,193.89,304.85,24153.09,14.21,42070.32,5630.11,54.03,157.80,679.45,359.58,1462.17,151.63
27-Jun-2018,1618.66,1060.58,2349.63,433.05,185.64,11484.11,702.41,31.49,433.24,500.95,3218.23,12307.39,560.63,55.52,3235.10,1394.43,3727.97,35.63,10648.56,94.35,194.35,304.33,24267.90,14.12,41427.40,5589.76,53.78,143.37,676.92,355.24,1454.44,151.29
28-Jun-2018,1599.54,1050.60,2323.52,425.59,182.31,11345.20,698.61,31.23,420.47,492.34,3188.25,12174.18,552.74,54.75,3094.44,1359.55,3681.94,35.52,10540.70,88.79,194.11,302.34,23995.74,14.21,41051.16,5631.53,53.09,144.64,664.48,354.15,1440.66,147.79
29-Jun-2018,1595.58,1051.63,2320.82,416.57,176.49,11208.29,695.00,31.07,404.22,495.83,3186.61,12193.52,544.79,54.03,2981.92,1329.29,3630.08,35.00,10559.90,86.38,193.20,297.71,24126.49,13.79,40859.14,5601.18,52.84,144.27,658.82,351.65,1492.36,147.65
02-Jul-2018,1607.27,1058.12,2339.76,419.89,180.71,11239.14,702.33,31.22,396.15,501.26,3246.80,12128.16,542.67,54.69,3122.58,1323.07,3642.11,35.24,10695.74,89.14,192.04,299.49,23909.44,13.87,41713.40,5586.27,53.18,144.64,675.40,359.36,1537.75,151.28
03-Jul-2018,1626.62,1069.77,2368.74,426.69,182.93,11466.85,707.12,31.55,397.02,504.25,3284.52,12280.67,547.95,55.48,3206.97,1361.94,3734.47,35.77,10663.57,92.11,192.75,306.02,24027.60,13.96,41947.89,5772.69,54.06,150.13,685.00,368.38,1544.23,152.57
04-Jul-2018,1629.20,1073.20,2374.11,424.00,181.70,11377.45,711.18,31.38,370.97,509.44,3323.33,12237.47,547.95,55.75,3206.97,1351.30,3718.61,35.41,10583.47,91.63,193.44,306.55,24014.56,13.96,41873.65,5780.79,54.00,147.73,687.84,369.99,1567.29,154.16
05-Jul-2018,1601.42,1054.84,2331.83,412.91,179.13,11085.94,704.85,30.83,340.03,504.08,3224.10,12130.23,539.65,54.74,3178.84,1305.20,3661.78,35.18,10492.05,88.76,193.03,302.34,23421.93,13.71,41403.73,5652.96,53.00,142.62,673.21,367.33,1541.27,152.21
