Symbol,Sector,Total Asset,TotalLiabilities,Paid-upCap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return onEquity,Return onAsset,Gross ProfitMargin,Net ProfitMargin,EBIT Margin,D/E,Current Ratio,FixedAssetTurnover,TotalAssetTurnover
CENTEL *,Tourism & Leisure,37433979.00,24832676.00,1350000.00,12233955.00,6952532.00,7203635.00,1455570.00,-251103.00,-510604.00,-0.38,838364.00,-1973006.00,2017533.00,882891.00,1.39,1.99,34.88,-7.34,-3.61,2.03,0.71,0.98,0.54
ERW *,Tourism & Leisure,21409173.00,16373852.00,2517533.00,4885619.00,1298885.00,1791339.00,33704.00,-492454.00,-727610.00,-0.29,-483808.00,-346845.00,1408077.00,577424.00,-9.77,0.26,43.20,-56.02,-37.91,3.35,0.70,0.28,0.24
AAV *,Transportation & Logistics,73491795.74,52118562.84,485000.00,16471257.83,9693727.37,12844620.76,247803.75,-3150893.40,-1812806.87,-0.37,-774204.68,12558069.72,-12971993.00,-1188127.95,-12.49,-5.34,-43.22,-18.70,-32.50,3.16,0.24,1.88,0.44
AOT *,Transportation & Logistics,178076696.56,30563944.58,14285700.00,146707907.21,14065233.34,12885022.64,3860802.46,1180210.69,713740.49,0.05,-1149097.41,23066151.43,-17166231.99,4750822.03,8.91,9.47,87.52,5.07,8.39,0.21,3.73,0.46,0.26
BEM *,Transportation & Logistics,113834743.00,77020103.00,15285000.00,36768803.00,6721691.00,4961204.00,2850484.00,1760487.00,659904.00,0.04,2433926.00,-2832637.00,2160529.00,1761818.00,5.45,3.89,48.94,9.82,26.19,2.09,0.40,0.21,0.14
BTS *,Transportation & Logistics,175816873.00,112782414.00,52618544.00,51281306.00,20625867.48,15469615.55,5702378.01,5156251.93,3974175.09,0.31,-6122029.42,2165918.70,3758616.73,-197493.99,15.16,6.35,13.30,19.27,25.00,2.20,0.40,8.52,0.26
PRM *,Transportation & Logistics,13245898.00,5575348.00,2500000.00,7301854.00,3088458.00,2073201.00,1379397.00,1015257.00,708432.00,0.28,1512376.00,-8339.00,-911751.00,592286.00,17.56,13.54,40.41,22.94,32.87,0.76,1.20,0.67,0.46
HANA *,Electronic Components,24767863.00,3638047.00,804879.00,21129816.00,9455147.00,8514580.00,1510672.00,940567.00,886018.00,1.10,1288543.00,-1170408.00,-1025209.00,-907074.00,8.87,8.03,15.34,9.37,9.95,0.17,5.99,2.90,0.81
KCE *,Electronic Components,17369424.00,5574132.00,586397.00,11749046.00,5512709.00,4970567.00,1068410.00,542142.00,496168.00,0.42,685074.00,-127210.00,953221.00,1511085.00,8.55,6.47,21.69,9.00,9.83,0.47,1.73,1.31,0.68
ADVANC *,Information & Communication Technology,368074033.00,296377565.00,2973554.00,71568629.00,85742043.00,66128799.00,45481811.00,19613244.00,13757308.00,4.63,42325235.99,-14632011.00,-21501162.00,6192062.99,43.57,12.50,37.11,16.04,22.87,4.14,0.45,1.42,0.55
DTAC *,Information & Communication Technology,162889945.00,138216703.00,4735622.00,24673242.00,39282554.00,34096694.00,15872320.00,5185860.00,3390395.00,1.43,12780192.00,-6303922.00,-7400153.00,-923883.00,22.73,6.50,30.43,8.63,13.20,5.60,0.39,1.53,0.53
INTUCH *,Information & Communication Technology,51823879.00,9149285.00,3206509.00,36474731.00,8297537.00,1983192.00,6997155.00,6314345.00,5720695.00,1.78,5737360.00,-1345769.00,-4667665.00,-276074.00,31.37,20.44,26.78,68.94,76.10,0.25,2.71,4.39,0.33
JAS *,Information & Communication Technology,110981339.00,103410891.00,4157478.00,6534217.00,9598947.00,8814223.00,6065533.00,784724.00,-1404197.00,-0.17,3534656.00,-65901.00,-17767255.00,-14298500.00,25.04,18.36,30.15,-14.63,8.18,15.83,0.62,0.93,0.41
TRUE *,Information & Communication Technology,610034263.61,524276426.13,133472781.20,85183761.40,74043011.13,64128805.97,31348869.70,9914205.16,1101057.13,0.03,21012757.03,-41346313.84,-4254418.69,-24587975.50,4.00,3.74,27.41,1.49,13.39,6.15,0.67,0.73,0.29
